timestamp,service,region,resource_id,cost_usd,cpu_usage_pct,team,environment,project
2026-02-25 23:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.3354,33.54,Backend-API,Production,Internal-Tools
2026-02-25 23:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,0.8215,30.81,Data-Science,Production,Project-Alpha
2026-02-25 23:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,1.8099,32.58,Frontend-Web,Development,Project-Alpha
2026-02-25 23:00:00,AmazonS3,us-east-1,corp-assets-g2jzdc,0.1085,,Frontend-Web,Production,Project-Alpha
2026-02-25 23:00:00,AWSLambda,us-east-1,res-71m23unguy,0.0366,,Infrastructure,Staging,Project-Omega
2026-02-26 00:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.3035,30.35,Backend-API,Production,Internal-Tools
2026-02-26 00:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,0.7708,28.9,Data-Science,Production,Project-Alpha
2026-02-26 00:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,1.7093,30.76,Frontend-Web,Development,Project-Alpha
2026-02-26 00:00:00,AmazonS3,us-east-1,corp-assets-g2jzdc,0.0993,,Frontend-Web,Production,Project-Alpha
2026-02-26 00:00:00,AWSLambda,us-east-1,res-71m23unguy,0.0317,,Infrastructure,Staging,Project-Omega
2026-02-26 01:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.2797,27.96,Backend-API,Production,Internal-Tools
2026-02-26 01:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,0.7329,27.48,Data-Science,Production,Project-Alpha
2026-02-26 01:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,1.4742,26.53,Frontend-Web,Development,Project-Alpha
2026-02-26 01:00:00,AmazonS3,us-east-1,corp-assets-g2jzdc,0.0914,,Frontend-Web,Production,Project-Alpha
2026-02-26 01:00:00,AWSLambda,us-east-1,res-71m23unguy,0.0312,,Infrastructure,Staging,Project-Omega
2026-02-26 02:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.2834,28.33,Backend-API,Production,Internal-Tools
2026-02-26 02:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,0.7111,26.66,Data-Science,Production,Project-Alpha
2026-02-26 02:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,1.4955,26.91,Frontend-Web,Development,Project-Alpha
2026-02-26 02:00:00,AmazonS3,us-east-1,corp-assets-g2jzdc,0.0914,,Frontend-Web,Production,Project-Alpha
2026-02-26 02:00:00,AWSLambda,us-east-1,res-71m23unguy,0.0305,,Infrastructure,Staging,Project-Omega
2026-02-26 03:00:00,AmazonEC2,us-east-1,i-0c486f86ef23945ab,0.2831,28.3,Backend-API,Production,Internal-Tools
2026-02-26 03:00:00,AmazonEC2,us-west-2,i-043e020b0942210fa,0.702,26.31,Data-Science,Production,Project-Alpha
2026-02-26 03:00:00,AmazonRDS,us-east-1,prod-db-jeeyuujy,1.4667,26.39,Frontend-Web,Development,Project-Alpha
